row ID;row m/z;row retention time;20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area
412;142.1311859;0.62687427;0;107922.43;0
413;150.0585904;0.62687427;0;98060.3;0
414;196.9925791;0.62687427;0;69912.9;0
415;370.9722126;0.62687427;0;114122.17;0
416;157.0135164;0.6302367;0;0;52509.855
417;244.1295021;0.6302367;0;0;207421.86
418;314.9826537;0.6302367;0;0;47065.76
419;129.0185103;0.6325242;0;104932.1;97846.37
420;147.0290035;0.6325242;0;58290.684;66728.15
421;193.0345732;0.6325242;0;120740.05;112154.664
422;384.9878487;0.6325242;0;123374.07;78987.26
423;393.9827785;0.6325242;0;341754.25;220020.14
424;423.008452;0.6325242;0;139813.7;115456.055
425;438.9799205;0.6325242;0;363222.88;212041.28
426;440.9810912;0.6325242;0;79110.08;95084.26
427;450.9602421;0.6325242;0;183390.39;150446.58
428;139.0028067;0.63323194;53921.125;165521.22;152070.3
429;210.0610028;0.63323194;1382240.9;3652403.8;2873970
430;215.0163782;0.63323194;1142361.6;3209482.8;2258530.2
431;230.9903595;0.63323194;59507.324;239186.34;128642.766
432;428.9782781;0.63323194;177766.38;671206.06;602663.44
433;437.9730075;0.63323194;157810.86;753051.56;514881.97
434;174.112601;0.6348117;0;118413.55;0
435;175.0237653;0.6348117;0;51871.957;0
436;287.9801525;0.6358785;110549.44;450836.34;171608.28
437;236.9983855;0.63592786;108210.875;235803.83;138760.34
438;415.9651483;0.63656795;0;97001.08;74640.055
439;210.0975532;0.637016;65351.168;76070.57;90062.55
440;174.076307;0.63816404;135593.47;84469.75;0
441;242.9826768;0.6413951;603062.25;1941787;928221.7
442;168.1020085;0.6427513;0;4606130.5;0
443;426.9827537;0.6427513;0;59631.367;0
444;144.113378;0.6429371;99036.875;0;0
445;254.1136805;0.6429371;113345.87;0;0
446;182.9772608;0.6440416;58150.074;134032.3;93794.88
447;199.1080673;0.6464366;0;0;85528.99
448;206.1027064;0.6464366;0;0;277315.28
449;215.1029307;0.6464366;0;0;61654.895
450;337.1606748;0.6464366;0;0;186499.36
451;291.9511519;0.6466421;42980.93;131476.97;0
452;188.0919919;0.64856267;0;189501.12;500323.6
453;126.1279907;0.6506887;0;339034.88;0
454;144.1383318;0.6506887;0;1.47E+07;0
455;138.0552067;0.6517708;923365;349809.6;3383229
456;229.1549447;0.6521235;85082.24;558388.7;1037054.9
457;330.0598293;0.6566105;0;82461.57;133848.94
458;154.0864036;0.65863657;0;69404.4;0
459;180.0787067;0.65863657;0;310961.06;0
460;288.1441193;0.65863657;0;199527.48;0
461;170.0815326;0.66283023;0;0;286810.84
462;176.0920207;0.66543883;455684.44;111234.13;0
463;128.1072414;0.66660106;0;4487615;0
464;176.1283139;0.66660106;0;121670.516;0
465;197.1286791;0.66660106;0;447771.44;0
466;198.1491378;0.66660106;0;106715.11;0
467;214.1439802;0.66660106;0;179342.42;0
468;314.086433;0.66660106;0;51607.49;0
469;168.0137424;0.6741803;327929.7;315475.44;288969.75
470;200.1637037;0.6745656;0;164939.92;0
471;230.1386743;0.6745656;0;128027.695;0
472;332.1340005;0.6768093;0;312488.8;472300.56
473;229.0323015;0.67810017;78070.19;0;99317.836
474;243.0979649;0.67930514;0;0;126989.64
475;224.0767527;0.67957956;158890.69;168663.3;283296.22
476;162.0763305;0.6807885;0;717828.5;118852.14
477;126.0916511;0.68253845;0;45169.082;0
478;163.1098003;0.68253845;0;52632.73;0
479;178.0863991;0.68253845;0;514993.5;0
480;283.2380147;0.68253845;0;596327.44;0
481;325.2121508;0.68253845;0;91258.38;0
482;130.0501877;0.684901;0;112800.32;67105.46
483;127.0393844;0.68748003;0;0;143583.75
484;145.0498393;0.68748003;0;0;221523.4
485;277.0687634;0.68748003;0;0;273146.16
486;305.1210771;0.68748003;0;0;240453.31
487;185.0924317;0.68898845;0;129327.055;135471.73
488;140.1071542;0.6904968;0;771409.9;0
489;144.065819;0.6904968;0;280501.03;0
490;184.058303;0.6904968;0;102779.43;0
491;290.1597068;0.6904968;0;649286.06;0
492;308.2697604;0.6904968;0;156955.06;0
493;202.1187769;0.69391805;218923.62;0;0
494;187.1080864;0.6956571;0;0;191119.94
495;323.0653236;0.6956571;0;0;57292.82
496;241.1547917;0.69600725;383475.8;450680.1;704163.94
497;239.1126946;0.69693834;0;57900.23;399194.3
498;216.1234158;0.6984467;0;100643.43;0
499;284.1705389;0.6990334;53856.11;0;745582.06
