row ID,row m/z,row retention time,20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_00.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_01.mzML Peak area,
232,171.99310215906584,0.3785429,0,1208882.4,0,0,0,0,0,3317714.0,2822986.0,
233,435.71969205709905,0.38126454,0,0,0,0,0,0,0,0,50393.668,
234,471.7949682756558,0.38126454,0,0,0,0,0,0,0,0,78969.56,
235,597.642309154933,0.38126454,0,0,0,0,0,0,0,0,123081.59,
236,148.97727500956296,0.38138983,0,0,0,0,0,0,0,527905.0,632525.44,
237,158.9615347714344,0.38138983,0,0,0,0,0,0,0,1.09105E7,1.1167801E7,
238,169.99759984527066,0.38138983,0,0,0,0,0,0,0,110501.82,124455.02,
239,199.98798170989178,0.38138983,0,0,0,0,0,0,0,4974428.0,5141655.5,
240,258.8861882074625,0.38138983,0,0,0,0,0,0,0,409337.25,373788.25,
241,263.8652403096743,0.38138983,0,0,0,0,0,0,0,80257.195,72756.6,
242,276.8967367709853,0.38138983,0,0,0,0,0,0,0,4825772.0,4464328.0,
243,299.91273097203486,0.38138983,0,0,0,0,0,0,0,423554.4,413495.4,
244,302.8964643355116,0.38138983,0,0,0,0,0,0,0,342883.84,325696.03,
245,304.89164744660786,0.38138983,0,0,0,0,0,0,0,3171705.0,3155141.5,
246,402.8210002239982,0.38138983,0,0,0,0,0,0,0,438158.97,429704.62,
247,404.81614599287434,0.38138983,0,0,0,0,0,0,0,2469344.8,2333666.5,
248,526.7224139595023,0.38138983,0,0,0,0,0,0,0,175917.97,164519.92,
249,596.656837833264,0.38138983,0,0,0,0,0,0,0,98346.11,108181.18,
250,598.6520615788575,0.38138983,0,0,0,0,0,0,0,364114.38,347525.0,
251,599.6599851941875,0.38138983,0,0,0,0,0,0,0,378200.62,356060.34,
252,622.6770538731378,0.38138983,0,0,0,0,0,0,0,272293.1,256629.31,
253,639.679396627391,0.38138983,0,0,0,0,0,0,0,133236.72,134577.33,
254,135.9455543938134,0.38151512,0,0,0,0,0,0,0,67839.195,0,
255,158.97192790614804,0.38151512,0,0,0,0,0,0,0,63411.81,0,
256,182.85593683318888,0.38151512,0,0,0,0,0,0,0,99775.46,0,
257,480.71675619373866,0.38151512,0,0,0,0,0,0,0,198135.3,0,
258,842.5133349228046,0.38151512,0,0,0,0,0,0,0,64099.508,0,
259,962.443099528125,0.38151512,0,0,0,0,0,0,0,72762.13,0,
260,139.98248428501998,0.3819189,0,0,0,1040198.44,999518.3,3081316.0,2184671.5,866045.1,942617.06,
261,130.96660260890357,0.38533252,0,0,0,0,0,0,0,1427465.9,1383510.6,
262,176.9721590797142,0.38533252,0,0,0,0,0,0,0,1288408.8,1305742.1,
263,197.99276947887108,0.38533252,0,0,0,0,0,0,0,294284.0,266805.62,
264,156.96630511529636,0.38533667,0,0,0,0,0,0,0,504456.66,463610.56,
265,220.93548122787024,0.38533252,0,0,0,0,0,0,0,99559.25,107485.28,
266,227.98286469861057,0.38533252,0,0,0,0,0,0,0,409808.1,403729.6,
267,235.87021258586475,0.38533252,0,0,0,0,0,0,0,101652.414,93388.46,
268,253.88064880046988,0.38533252,0,0,0,0,0,0,0,84237.51,77556.09,
269,274.90125546100364,0.38533252,0,0,0,0,0,0,0,504599.44,478793.28,
270,421.8192535642933,0.38533252,0,0,0,0,0,0,0,75670.77,81875.55,
271,425.8141953513826,0.38533252,0,0,0,0,0,0,0,72764.5,64525.793,
272,447.81894722324864,0.38533252,0,0,0,0,0,0,0,119019.66,111039.16,
273,449.81423419906093,0.38533252,0,0,0,0,0,0,0,739418.5,692885.4,
274,521.7438611687437,0.38533252,0,0,0,0,0,0,0,230701.08,218499.06,
275,494.81150554945293,0.38533667,0,0,0,0,0,0,0,108815.59,90583.34,
276,189.16009017849913,0.38739765,302805.72,486294.66,1412394.8,0,0,0,0,0,0,
277,408.78745235494154,0.38927937,0,0,0,0,0,0,0,439468.4,407893.5,
278,426.7983130790076,0.38927937,0,0,0,0,0,0,0,171063.72,152156.8,
279,406.7925342491012,0.3894005,0,0,0,0,0,0,0,73886.914,0,
280,470.81209076738736,0.3894005,0,0,0,0,0,0,0,54720.582,0,
281,489.80599486561124,0.3894005,0,0,0,0,0,0,0,46645.07,0,
282,355.8761442641737,0.3932408,0,0,0,0,0,0,0,68742.016,62182.61,
283,213.07518085252573,0.39671758,0,354308.7,0,0,0,0,0,0,0,
284,225.19633214293177,0.39671758,0,2668620.2,0,0,0,0,0,0,0,
285,251.03113479967843,0.39671758,0,532120.7,0,0,0,0,0,0,0,
286,308.26993907187625,0.39671758,0,159936.61,0,0,0,0,0,0,0,
287,376.10083779466254,0.39671758,0,293765.9,0,0,0,0,0,0,0,
288,202.04769182099926,0.39970136,2389982.5,0,0,0,0,0,0,0,0,
289,412.8244586068472,0.40516576,0,0,0,0,0,0,0,173245.12,159817.33,
290,326.8735238362543,0.4052775,0,0,0,0,0,0,0,164925.11,0,
291,389.8081461373117,0.4052775,0,0,0,0,0,0,0,58347.29,0,
292,448.7806975757466,0.4052775,0,0,0,0,0,0,0,59149.91,0,
293,175.11932724689595,0.40592805,68016.91,2937996.8,767696.44,0,0,0,0,0,0,
